Service,Unnamed: 1,Cost (USD),Unnamed: 3,salesman,Unnamed: 5,override,Unnamed: 7,corp
,,,,0.5,,0.1,,0.4
Decks & Porches,,200.0,,100.0,,20.0,,80.0
Electrical,,140.0,,70.0,,14.0,,56.0
Epoxy Flooring,,150.0,,75.0,,15.0,,60.0
Fencing,,200.0,,100.0,,20.0,,80.0
Flooring & Hardwood,,250.0,,125.0,,25.0,,100.0
Foundation Repair,,250.0,,125.0,,25.0,,100.0
Handyman,,120.0,,60.0,,12.0,,48.0
Heating & Cooling,,200.0,,100.0,,20.0,,80.0
Insulation,,150.0,,75.0,,15.0,,60.0
Kitchen Remodeling,,400.0,,200.0,,40.0,,160.0
Outdoor Remodeling,,300.0,,150.0,,30.0,,120.0
Painting Interior & Exterior,,200.0,,100.0,,20.0,,80.0
Patio Covers,,200.0,,100.0,,20.0,,80.0
Pest Control,,150.0,,75.0,,15.0,,60.0
Plumbing,,150.0,,75.0,,15.0,,60.0
Rain Gutters,,250.0,,125.0,,25.0,,100.0
Reglazing (Bath & Countertop),,50.0,,25.0,,5.0,,20.0
Restoration (Fire and Water),,350.0,,175.0,,35.0,,140.0
Roofing,,400.0,,200.0,,40.0,,160.0
Room Additions/New Construction,,400.0,,200.0,,40.0,,160.0
Shutters/Shades/Blinds,,200.0,,100.0,,20.0,,80.0
Siding,,150.0,,75.0,,15.0,,60.0
Swimming Pools,,300.0,,150.0,,30.0,,120.0
Tree Service,,150.0,,75.0,,15.0,,60.0
Walk-in Tubs,,400.0,,200.0,,40.0,,160.0
Windows & Doors,,300.0,,150.0,,30.0,,120.0
Wood Refinishing,,150.0,,75.0,,15.0,,60.0
Pool service,,155.0,,77.5,,15.5,,62.0
concrete patio/drive walk,,155.0,,77.5,,15.5,,62.0
remodle,,444.0,,222.0,,44.400000000000006,,177.60000000000002
House cleaning,,77.0,,38.5,,7.7,,30.8
Block wall/ fence ,,111.0,,55.5,,11.100000000000001,,44.400000000000006
landscaping,,77.0,,38.5,,7.7,,30.8
vet services,,77.0,,38.5,,7.7,,30.8
interior design,,111.0,,55.5,,11.100000000000001,,44.400000000000006
low voltage,,77.0,,38.5,,7.7,,30.8
HVAC,,111.0,,55.5,,11.100000000000001,,44.400000000000006
Turf,,111.0,,55.5,,11.100000000000001,,44.400000000000006
handy man service,,111.0,,55.5,,11.100000000000001,,44.400000000000006
sheet rock ,,111.0,,55.5,,11.100000000000001,,44.400000000000006
gerneral contracting remodle,,444.0,,222.0,,44.400000000000006,,177.60000000000002
garbage haul off,,111.0,,55.5,,11.100000000000001,,44.400000000000006
solar,,444.0,,222.0,,44.400000000000006,,177.60000000000002
excavation,,166.0,,83.0,,16.6,,66.4
roofing,,444.0,,222.0,,44.400000000000006,,177.60000000000002
stone and masonary,,222.0,,111.0,,22.200000000000003,,88.80000000000001
window and door install,,333.0,,166.5,,33.300000000000004,,133.20000000000002
trim carpentry,,111.0,,55.5,,11.100000000000001,,44.400000000000006
countertops,,222.0,,111.0,,22.200000000000003,,88.80000000000001
fireplace,,111.0,,55.5,,11.100000000000001,,44.400000000000006
smart home automation,,111.0,,55.5,,11.100000000000001,,44.400000000000006
genterator install,,77.0,,38.5,,7.7,,30.8
home security and surveillance,,111.0,,55.5,,11.100000000000001,,44.400000000000006
tile,,77.0,,38.5,,7.7,,30.8
carpet,,77.0,,38.5,,7.7,,30.8
concrete polioshing,,111.0,,55.5,,11.100000000000001,,44.400000000000006
appliances,,77.0,,38.5,,7.7,,30.8
home inspection,,77.0,,38.5,,7.7,,30.8
landscape designe,,222.0,,111.0,,22.200000000000003,,88.80000000000001
outdoot kitchens,,333.0,,166.5,,33.300000000000004,,133.20000000000002
tree service,,111.0,,55.5,,11.100000000000001,,44.400000000000006
blinds and shutters,,111.0,,55.5,,11.100000000000001,,44.400000000000006
property management,,77.0,,38.5,,7.7,,30.8
hvac maintenance,,77.0,,38.5,,7.7,,30.8
water softeners and filtration,,77.0,,38.5,,7.7,,30.8
window washing,,77.0,,38.5,,7.7,,30.8
garage door,,77.0,,38.5,,7.7,,30.8
average commision,,184.71641791044777,,92.35820895522389,,18.471641791044778,,73.88656716417911
,,,,,,,,
per day per salesman,12.0,2216.5970149253735,,1108.2985074626868,,221.65970149253735,,886.6388059701494
per month per salesman,240.0,44331.94029850746,,22165.97014925373,,4433.194029850747,,17732.776119402988
per year full time ,2880.0,531983.2835820896,,265991.6417910448,,53198.328358208964,,212793.31343283586
,,,,,,,,
total salesman,8.0,4255866.268656717,,2127933.1343283583,,425586.6268656717,,1702346.5074626869
